# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Dens_electron
# 18 Ntot_electron
# 19 Zavg_electron
# 20 Ukin_electron
# 21 Urad_electron
# 22 Dens_ion
# 23 Ntot_ion
# 24 Zavg_ion
# 25 Ukin_ion
# 26 Urad_ion
# 27 Uelm_Ex
# 28 Uelm_Ey
# 29 Uelm_Ez
# 30 Uelm_Bx_m
# 31 Uelm_By_m
# 32 Uelm_Bz_m
# 33 ExMin
# 34 ExMinCell
# 35 ExMax
# 36 ExMaxCell
# 37 EyMin
# 38 EyMinCell
# 39 EyMax
# 40 EyMaxCell
# 41 EzMin
# 42 EzMinCell
# 43 EzMax
# 44 EzMaxCell
# 45 Bx_mMin
# 46 Bx_mMinCell
# 47 Bx_mMax
# 48 Bx_mMaxCell
# 49 By_mMin
# 50 By_mMinCell
# 51 By_mMax
# 52 By_mMaxCell
# 53 Bz_mMin
# 54 Bz_mMinCell
# 55 Bz_mMax
# 56 Bz_mMaxCell
# 57 JxMin
# 58 JxMinCell
# 59 JxMax
# 60 JxMaxCell
# 61 JyMin
# 62 JyMinCell
# 63 JyMax
# 64 JyMaxCell
# 65 JzMin
# 66 JzMinCell
# 67 JzMax
# 68 JzMaxCell
# 69 RhoMin
# 70 RhoMinCell
# 71 RhoMax
# 72 RhoMaxCell
# 73 PoyXmin
# 74 PoyXminInst
# 75 PoyXmax
# 76 PoyXmaxInst
#
#               time           Ubal_norm                Ubal                Utot                Uexp                Ukin                Urad           UmBWpairs                Uelm            Ukin_bnd        Ukin_out_mvw        Ukin_inj_mvw            Ukin_new            Uelm_bnd        Uelm_out_mvw        Uelm_inj_mvw       Dens_electron       Ntot_electron       Zavg_electron       Ukin_electron       Urad_electron            Dens_ion            Ntot_ion            Zavg_ion            Ukin_ion            Urad_ion             Uelm_Ex             Uelm_Ey             Uelm_Ez           Uelm_Bx_m           Uelm_By_m           Uelm_Bz_m               ExMin           ExMinCell               ExMax           ExMaxCell               EyMin           EyMinCell               EyMax           EyMaxCell               EzMin           EzMinCell               EzMax           EzMaxCell             Bx_mMin         Bx_mMinCell             Bx_mMax         Bx_mMaxCell             By_mMin         By_mMinCell             By_mMax         By_mMaxCell             Bz_mMin         Bz_mMinCell             Bz_mMax         Bz_mMaxCell               JxMin           JxMinCell               JxMax           JxMaxCell               JyMin           JyMinCell               JyMax           JyMaxCell               JzMin           JzMinCell               JzMax           JzMaxCell              RhoMin          RhoMinCell              RhoMax          RhoMaxCell             PoyXmin         PoyXminInst             PoyXmax         PoyXmaxInst
    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    1.7897925058e+02    1.7897925058e+02    1.7242994980e+02    0.0000000000e+00    0.0000000000e+00    6.5493007797e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05   -1.0000000000e+00    7.3183213327e+00    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05    1.0000000000e+00    1.6511162847e+02    0.0000000000e+00    1.4728612468e-01    1.8716818879e-03    0.0000000000e+00    5.6514552448e+00    0.0000000000e+00    7.4868772833e-01   -1.3792963831e-02               14387    3.6299039286e-02               35874    1.3680805733e-03                   2    1.3680805733e-03                   2    0.0000000000e+00                   2    0.0000000000e+00                   2    7.5175409663e-02                   2    7.5175409663e-02                   2    0.0000000000e+00                   2    0.0000000000e+00                   2    2.7361611466e-02                   2    2.7361611466e-02                   2   -1.0660094420e-01               27201    7.8986335065e-02               27803   -5.9799891717e-02                6468    6.9480710628e-02               32281   -5.9846938926e-02                9489    6.3802491356e-02               41511   -8.8648552697e-01               49558    8.8069765515e-01               42468    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    4.0000000000e+00    1.0174793861e-04    1.8212622898e-02    1.7899746321e+02    1.7897925058e+02    1.7236704827e+02    0.0000000000e+00    0.0000000000e+00    6.6304149323e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05   -1.0000000000e+00    8.0347315567e+00    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05    1.0000000000e+00    1.6433231672e+02    0.0000000000e+00    1.9354828285e-01    1.3126564690e-02    1.3725199712e-02    5.6514552448e+00    4.9336479716e-03    7.5362599224e-01   -5.6928631171e-02               45833    4.7413878159e-02               25046   -1.3361914286e-02                2205    1.3422787370e-02               40879   -1.3960992426e-02                4324    1.3314678690e-02               25174    7.5175409663e-02               25002    7.5175409663e-02               25002   -8.3180809048e-03               40896    9.2377781253e-03               41004    1.8717872771e-02               26796    3.6054326673e-02               19464   -1.3918521910e-01               15058    8.7861218579e-02               49848   -8.5774763024e-02               46501    6.5288893590e-02               22814   -7.8258575742e-02               43450    7.5873427640e-02               19071   -1.2399562396e+00                 270    1.4449350029e+00                3839    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    8.0000000000e+00    1.0593113782e-03    1.8979580946e-01    1.7916904639e+02    1.7897925058e+02    1.7239166662e+02    0.0000000000e+00    0.0000000000e+00    6.7773797683e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05   -1.0000000000e+00    6.3665716833e+00    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05    1.0000000000e+00    1.6602509494e+02    0.0000000000e+00    1.6877201927e-01    9.1615180872e-02    1.0406491859e-01    5.6514552448e+00    6.3906341008e-03    7.5508177068e-01   -5.7955627272e-02                4080    6.1164051509e-02                5087   -2.6701561678e-02               24025    2.7575362917e-02                2120   -3.8993673141e-02                4322    3.7294266840e-02                4355    7.5175409663e-02                   2    7.5175409663e-02                   2   -9.6973666082e-03               41080    9.7139834191e-03               49388    1.6623204907e-02               32110    3.6451313927e-02               30935   -9.3368712947e-02                7154    1.0032345612e-01                3557   -6.7811037546e-02               45420    6.7278417340e-02               27434   -6.2083037620e-02               46505    6.3393863457e-02                  92   -1.4920845460e+00               29507    1.3624980999e+00               22161    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    1.2000000000e+01    1.4859862643e-02    2.6997246166e+00    1.8167897520e+02    1.7897925058e+02    1.7233548307e+02    0.0000000000e+00    0.0000000000e+00    9.3434921287e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05   -1.0000000000e+00    7.7058052286e+00    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05    1.0000000000e+00    1.6462967784e+02    0.0000000000e+00    2.2298611174e-01    1.2669364578e+00    1.4409747671e+00    5.6514552448e+00    6.2048449495e-03    7.5493470220e-01   -4.5910173225e-02                5750    6.1416751445e-02                 985   -8.9409336598e-02                2203    9.7570968720e-02                2178   -1.2799301240e-01                4346    1.2955287142e-01                4365    7.5175409663e-02                   2    7.5175409663e-02                   2   -9.8132999817e-03               42173    1.0451214235e-02                5687    1.7864875882e-02               32120    3.7985293981e-02               33471   -1.3009091105e-01               14242    1.0539804631e-01               11739   -6.5281542806e-02                2628    7.5655428826e-02                5346   -7.0129804252e-02               24915    6.7951988063e-02               18920   -1.3140418773e+00               37223    1.4895723152e+00               32090    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    1.6000000000e+01    1.9459653580e-01    4.3243844473e+01    2.2222309506e+02    1.7897925058e+02    1.7233675573e+02    0.0000000000e+00    0.0000000000e+00    4.9886339323e+01    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05   -1.0000000000e+00    7.5870140528e+00    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05    1.0000000000e+00    1.6474974168e+02    0.0000000000e+00    2.2723465371e-01    2.0128806218e+01    2.3115693804e+01    5.6514552448e+00    7.1746000710e-03    7.5597480139e-01   -5.9506571049e-02               11581    5.0755927623e-02               26938   -3.5428682258e-01                2207    3.5291565664e-01                2214   -4.8748012248e-01               27010    4.8289104614e-01               27021    7.5175409663e-02               25002    7.5175409663e-02               25002   -1.0318596870e-02               22236    9.9735092860e-03               35611    1.7442864173e-02               14792    3.8790446084e-02               33473   -1.2735750211e-01               42626    1.0793655639e-01               26612   -7.2913139861e-02               32971    6.9566182902e-02                8539   -6.6108426373e-02               29178    6.4360867593e-02                1364   -1.5160985800e+00               39906    1.3751091157e+00               41287    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    2.0000000000e+01    8.0180691156e-01    7.2407570450e+02    9.0305495508e+02    1.7897925058e+02    1.7241555944e+02    0.0000000000e+00    0.0000000000e+00    7.3063939564e+02    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05   -1.0000000000e+00    6.6233577806e+00    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05    1.0000000000e+00    1.6579220165e+02    0.0000000000e+00    1.7985567818e-01    3.3446163348e+02    3.8954864083e+02    5.6514552448e+00    2.6009568781e-02    7.7180083831e-01   -5.5907986808e-02               20617    5.6567000093e-02               35906   -1.3896358713e+00               13804    1.3921076200e+00               13801   -1.9580549996e+00               27010    1.9609192449e+00               27007    7.5175409663e-02               25002    7.5175409663e-02               25002   -1.8607057444e-02               27010    1.9517897891e-02               35617    1.0895600713e-02               45662    4.3693343383e-02               13890   -1.2064695198e-01               24351    1.0849670902e-01               43218   -6.7110580756e-02               21139    7.7606208276e-02               47252   -6.5839416116e-02               40577    7.3576884604e-02               18884   -1.4628240550e+00               35194    1.4730543165e+00               39939    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    2.4000000000e+01    9.8578169677e-01    1.2408967963e+04    1.2587947213e+04    1.7897925058e+02    1.7303465230e+02    0.0000000000e+00    0.0000000000e+00    1.2414912561e+04    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05   -1.0000000000e+00    8.5804795271e+00    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05    1.0000000000e+00    1.6445417277e+02    0.0000000000e+00    1.8300321273e-01    5.6735156140e+03    6.7341698705e+03    5.6514552448e+00    3.5127429650e-01    1.0413436204e+00   -5.1295567522e-02               34781    5.9417055880e-02               11834   -5.7365135697e+00               21026    5.7411400673e+00               21039   -7.9198639260e+00               27016    7.9211375626e+00               27015    7.5175409663e-02               25002    7.5175409663e-02               25002   -6.1787033947e-02               26980    5.8220461226e-02               26937   -1.7299397238e-02               20983    7.3763860351e-02               13842   -1.2470857350e-01               14439    1.0143948021e-01               38847   -1.1243910484e-01               13993    8.8510498966e-02               11285   -1.1675547510e-01               27055    9.7392665897e-02               27128   -1.3123330638e+00               21504    1.3498865221e+00               45467    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    2.8000000000e+01    9.9917012527e-01    2.1549122170e+05    2.1567020095e+05    1.7897925058e+02    1.8391125171e+02    0.0000000000e+00    0.0000000000e+00    2.1548628970e+05    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05   -1.0000000000e+00    1.8587555867e+01    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05    1.0000000000e+00    1.6532369584e+02    0.0000000000e+00    2.0962041241e-01    9.7441758275e+04    1.1802690431e+05    5.6514552448e+00    6.0737502976e+00    5.6922857794e+00   -5.6133294925e-02               41656    6.7472297075e-02               48466   -2.3913688953e+01               21020    2.3910432237e+01               21021   -3.2016229142e+01               27012    3.2009843761e+01               27011    7.5175409663e-02                   2    7.5175409663e-02                   2   -2.3858384351e-01               27010    2.3008900193e-01               27009   -1.4991801116e-01               21017    2.0392549692e-01               21034   -1.2387509245e-01               17193    9.9151026699e-02               28837   -2.7333076478e-01               23960    2.5413739947e-01               12036   -3.2787979746e-01               26895    3.8979758576e-01               15793   -1.4629984141e+00                7230    1.3820824097e+00               25229    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    3.2000000000e+01    9.9995098519e-01    3.6513550698e+06    3.6515340491e+06    1.7897925058e+02    3.5656862112e+02    0.0000000000e+00    0.0000000000e+00    3.6511774804e+06    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05   -1.0000000000e+00    1.8902421249e+02    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05    1.0000000000e+00    1.6754440863e+02    0.0000000000e+00    1.7441447581e-01    1.6379228637e+06    2.0130731068e+06    5.6514552448e+00    9.6460317528e+01    7.9223749448e+01   -5.5245309889e-02               13781    5.9140687026e-02               23606   -9.5617725774e+01               21002    9.5620472977e+01               21001   -1.2513400482e+02               27012    1.2514831507e+02               27011    7.5175409663e-02               37502    7.5175409663e-02               37502   -8.4327150163e-01               26976    8.3434763424e-01               26975   -6.4006270624e-01               20999    6.8684713979e-01               21000   -1.0563730499e-01               35070    9.5646653638e-02               27127   -8.9235700817e-01               13819    7.0945482958e-01               21120   -1.1332809308e+00               27025    8.9164575933e-01               21812   -1.4119355751e+00                4837    1.2344871213e+00                2883    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
    3.6000000000e+01    9.9999624877e-01    4.7711908737e+07    4.7712087717e+07    1.7897925058e+02    1.9401271123e+03    0.0000000000e+00    0.0000000000e+00    4.7710147589e+07    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05   -1.0000000000e+00    1.7436244618e+03    0.0000000000e+00    2.0000000000e+03    2.0000000000e+05    1.0000000000e+00    1.9650265054e+02    0.0000000000e+00    1.9953782451e+00    2.1620872508e+07    2.6087668738e+07    5.6514552448e+00    8.6252798646e+02    7.3616776232e+02   -1.0903586286e-01               35579    4.6463066029e-02               22989   -3.1081570054e+02               21002    3.1082384896e+02               21007   -3.9499274032e+02               27020    3.9499512016e+02               27021    7.5175409663e-02               25002    7.5175409663e-02               25002   -2.0022042338e+00               27046    2.0048992667e+00               27045   -1.7070318607e+00               29489    1.7638222901e+00               29490   -1.0818524747e-01                1341    9.3356187767e-02               41307   -1.3752214607e+00               12095    1.6337936750e+00               29290   -1.6584837805e+00               35989    1.5255204082e+00                7362   -1.2001101734e+00                2529    1.2187537158e+00               38940    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
